"","Location2","Temperature","Incubator","Well","Hatching","last_check_hatch","L3_ocurrence","last_check_L3","Hatching_L3_BINO","Dead_before_L3","last_check_Mortality","abnormal_cells","Final_day","censored"
"1","Colorado","10",1,"b3",15,14,27,25,"NO",NA,NA,"NO",249,"NO"
"2","Colorado","10",1,"b5",16,15,31,29,"NO",NA,NA,"NO",249,"NO"
"3","Colorado","10",1,"b7",15,14,31,29,"NO",NA,NA,"NO",249,"NO"
"4","Colorado","10",1,"b9",17,16,29,27,"NO",NA,NA,"NO",249,"NO"
"5","Colorado","10",1,"c10",17,16,31,29,"NO",NA,NA,"NO",249,"NO"
"6","Colorado","10",1,"c4",43,41,55,53,"NO",NA,NA,"NO",249,"NO"
"7","Colorado","10",1,"c6",15,14,27,25,"NO",NA,NA,"NO",249,"NO"
"8","Colorado","10",1,"c8",15,14,27,25,"NO",NA,NA,"NO",249,"NO"
"9","Colorado","10",1,"d3",NA,NA,NA,NA,NA,6,5,NA,249,"NO"
"10","Colorado","10",1,"d5",16,15,27,25,"NO",NA,NA,"NO",249,"NO"
"11","Colorado","10",1,"d7",15,14,27,25,"NO",NA,NA,"NO",249,"NO"
"12","Colorado","10",1,"d9",17,16,29,27,"NO",NA,NA,"NO",249,"NO"
"13","Colorado","10",1,"e10",35,33,43,41,"NO",NA,NA,"NO",249,"NO"
"14","Colorado","10",1,"e4",16,15,33,31,"NO",NA,NA,"NO",249,"NO"
"15","Colorado","10",1,"e6",45,43,53,51,"NO",NA,NA,"NO",249,"NO"
"16","Colorado","10",1,"e8",17,16,35,33,"NO",NA,NA,"NO",249,"NO"
"17","Colorado","10",1,"f3",15,14,29,27,"NO",NA,NA,"NO",249,"NO"
"18","Colorado","10",1,"f5",14,12,31,29,"NO",NA,NA,"NO",249,"NO"
"19","Colorado","10",1,"f7",16,15,27,25,"NO",NA,NA,"NO",249,"NO"
"20","Colorado","10",1,"f9",16,15,35,33,"NO",NA,NA,"NO",249,"NO"
"21","Colorado","10",2,"b3",35,33,51,49,"NO",NA,NA,"NO",249,"NO"
"22","Colorado","10",2,"b5",NA,NA,NA,NA,NA,6,5,NA,249,"NO"
"23","Colorado","10",2,"b7",16,15,27,25,"NO",NA,NA,"NO",249,"NO"
"24","Colorado","10",2,"b9",12,11,27,25,"NO",NA,NA,"NO",249,"NO"
"25","Colorado","10",2,"c10",15,14,27,25,"NO",NA,NA,"NO",249,"NO"
"26","Colorado","10",2,"c4",15,14,29,27,"NO",NA,NA,"NO",249,"NO"
"27","Colorado","10",2,"c6",16,15,27,25,"NO",NA,NA,"NO",249,"NO"
"28","Colorado","10",2,"c8",14,12,27,25,"NO",NA,NA,"NO",249,"NO"
"29","Colorado","10",2,"d3",16,15,33,31,"NO",NA,NA,"NO",249,"NO"
"30","Colorado","10",2,"d5",16,15,27,25,"NO",NA,NA,"NO",249,"NO"
"31","Colorado","10",2,"d7",14,12,31,29,"NO",NA,NA,"NO",249,"NO"
"32","Colorado","10",2,"d9",47,45,57,55,"NO",NA,NA,"NO",249,"NO"
"33","Colorado","10",2,"e10",17,16,27,25,"NO",NA,NA,"NO",249,"NO"
"34","Colorado","10",2,"e4",NA,NA,NA,NA,NA,17,16,NA,249,"NO"
"35","Colorado","10",2,"e6",14,12,33,31,"NO",NA,NA,"NO",249,"NO"
"36","Colorado","10",2,"e8",NA,NA,51,49,"YES",NA,NA,"NO",249,"NO"
"37","Colorado","10",2,"f3",NA,NA,NA,NA,NA,6,5,NA,249,"NO"
"38","Colorado","10",2,"f5",NA,NA,35,33,"YES",NA,NA,"NO",249,"NO"
"39","Colorado","10",2,"f7",12,11,29,27,"NO",NA,NA,"NO",249,"NO"
"40","Colorado","10",2,"f9",15,14,31,29,"NO",NA,NA,"NO",249,"NO"
"41","Colorado","15",1,"b3",NA,NA,NA,NA,NA,3,2,NA,249,"NO"
"42","Colorado","15",1,"b5",6,5,17,16,"NO",NA,NA,"NO",249,"NO"
"43","Colorado","15",1,"b7",6,5,17,16,"NO",NA,NA,"NO",249,"NO"
"44","Colorado","15",1,"b9",8,7,21,19,"NO",NA,NA,"NO",249,"NO"
"45","Colorado","15",1,"c10",6,5,17,16,"NO",NA,NA,"NO",249,"NO"
"46","Colorado","15",1,"c4",11,10,19,17,"NO",NA,NA,"NO",249,"NO"
"47","Colorado","15",1,"c6",7,6,16,15,"NO",NA,NA,"NO",249,"NO"
"48","Colorado","15",1,"c8",7,6,19,17,"NO",NA,NA,"NO",249,"NO"
"49","Colorado","15",1,"d3",7,6,17,16,"NO",NA,NA,"NO",249,"NO"
"50","Colorado","15",1,"d5",6,5,21,19,"NO",NA,NA,"NO",249,"NO"
"51","Colorado","15",1,"d7",8,7,19,17,"NO",NA,NA,"NO",249,"NO"
"52","Colorado","15",1,"d9",6,5,17,16,"NO",NA,NA,"NO",249,"NO"
"53","Colorado","15",1,"e10",6,5,17,16,"NO",NA,NA,"NO",249,"NO"
"54","Colorado","15",1,"e4",6,5,14,12,"NO",NA,NA,"NO",249,"NO"
"55","Colorado","15",1,"e6",6,5,17,16,"NO",NA,NA,"NO",249,"NO"
"56","Colorado","15",1,"e8",12,11,16,15,"NO",NA,NA,"NO",249,"NO"
"57","Colorado","15",1,"f3",10,9,17,16,"NO",NA,NA,"NO",249,"NO"
"58","Colorado","15",1,"f5",6,5,16,15,"NO",NA,NA,"NO",249,"NO"
"59","Colorado","15",1,"f7",8,7,17,16,"NO",NA,NA,"NO",249,"NO"
"60","Colorado","15",1,"f9",NA,NA,NA,NA,NA,15,14,NA,249,"NO"
"61","Colorado","15",2,"b3",9,8,21,19,"NO",NA,NA,"NO",249,"NO"
"62","Colorado","15",2,"b5",6,5,16,15,"NO",NA,NA,"NO",249,"NO"
"63","Colorado","15",2,"b7",6,5,21,19,"NO",NA,NA,"NO",249,"NO"
"64","Colorado","15",2,"b9",5,4,17,16,"NO",NA,NA,"NO",249,"NO"
"65","Colorado","15",2,"c10",6,5,16,15,"NO",NA,NA,"NO",249,"NO"
"66","Colorado","15",2,"c4",6,5,19,17,"NO",NA,NA,"NO",249,"NO"
